Feature\Sample,CSM5FZ3N_P_profile,CSM5FZ3T_P_profile,CSM5MCVB_P_profile,CSM5MCU4_P_profile,CSM5MCWA_P_profile,CSM5MCWK_P_profile,CSM5MCXF_P_profile,CSM67U9V_P_profile,CSM67U9X_P_profile,CSM67UCU_P_profile,CSM67UAI_P_profile,CSM79HHO_profile,CSM79HH2_P_profile,CSM79HG7_P_profile,CSM79HHW_P_profile,CSM79HKX_profile,CSM79HJI_P_profile,CSM79HNY_P_profile,CSM7KOQP_P_profile,CSM7KOTO_profile,ESM5MEDZ_P_profile,ESM5GEYX_P_profile,ESM5GEYY_P_profile,ESM5MEDN_profile,ESM5MEB9_P_profile,ESM7F5AE_P_profile,ESM718U9_P_profile,HSM5FZBQ_P_profile,HSM5MD4U_P_profile,HSM5MD4B_P_profile,HSM5MD7Z_P_profile,HSM5MD8J_P_profile,HSM5MD8F_P_profile,HSM5MD3L_P_profile,HSM5MD5X_P_profile,HSM6XRQB_P_profile,HSM6XRR3_profile,HSM67VID_profile,HSM7CYWS_P_profile,HSM7CZ2V_P_profile,HSM7J4Q1_profile,HSM7J4J7_profile,HSM7J4LP_profile,HSMA33IE_profile,MSM5LLDI_profile,MSM5FZ9N_P_profile,MSM5FZ9X_P_profile,MSM5LLHR_P_profile,MSM5LLIC_P_profile,MSM5LLIS_P_profile,MSM5LLFG_P_profile,MSM5LLF2_P_profile,MSM6J2RG_P_profile,MSM79HBX_P_profile,MSM9VZLX_P_profile,MSM9VZM4_P_profile,MSM9VZJJ_P_profile,PSM6XBQM_P_profile,PSM6XBRK_P_profile,PSM6XBRM_P_profile,PSM6XBVY_P_profile,PSM7J1BJ_profile,PSM7J1B3_P_profile,PSM7J13I_profile,PSM7J4EF_profile
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter,0.0,0.0,0.0,2.79924,0.03969,1.00513,1.81737,2.78847,0.19901,0.0,0.0,1.52055,1.89053,1.71107,0.0,0.0,0.41589,0.21653,0.0,0.0,0.0,0.98571,2.70405,0.93759,0.0,0.49781,0.0,0.0,0.0,0.0,2.25531,0.0,0.0,1.95766,0.01276,0.0,0.0,0.33879,0.0918,1.11985,2.58507,0.52226,0.0,0.0,0.0,0.0,0.0,0.8757,1.51105,0.14945,0.0,0.0,0.0,0.22789,1.10741,0.89674,0.66163,0.33969,0.0,3.75436,1.82216,0.0,0.12646,2.55569,0.14314
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,0.0,0.0,0.00398,0.0,0.56311,0.0,0.07809,0.06575,0.02465,0.1058,0.0,0.0,0.20796,0.73409,0.22382,0.0,0.14386,0.0,0.0,0.28407,0.0,0.0,0.10639,0.0,1.18245,0.48178,0.07603,0.0,0.1029,0.07674,0.14732,0.00454,0.53129,0.67452,0.166,0.0,0.0,0.0,0.58837,0.13036,0.35107,0.0939,0.0,0.00507,0.61996,0.0,0.0,0.00917,0.11768,0.0,0.0,4.59305,0.0,8.73187,0.0,0.0,0.00137,0.04045,0.38301,0.03894,0.0,1.78472,2.71482,0.0,0.0351
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07408,0.0,0.0,0.0,14.58072,0.0,0.0,0.00288,0.0047,1.99167,0.0,3.70454,0.0,0.0,0.0,0.0,0.0,0.01117,0.0,0.0,0.0,0.0,0.0,0.0,2.62044,0.0,0.0,0.0,0.0,0.0,0.28614,0.03936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74343,0.0,3.90236,0.0,0.013,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea,0.21649,0.0402,0.0,0.0,0.04903,0.01458,0.33965,0.0,0.48648,0.00498,1.33676,0.19272,0.05964,0.02474,0.0,0.0429,4.04859,0.08013,0.0,0.15582,0.08995,0.30824,0.06404,0.11048,1.44536,0.19981,0.37067,0.0,0.0,0.0,0.03057,0.85072,0.1871,0.84641,4.9717,0.68901,0.08505,0.03178,0.22788,0.12581,0.05554,0.21995,0.0,0.18589,0.00302,0.0,0.64689,0.31797,0.19476,0.00087,0.12543,3.02222,0.06162,0.30649,0.0,0.0,0.09896,0.01972,0.18101,0.07608,0.0,0.0,0.02057,0.24231,1.82482
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter,0.0,0.0,0.07341,0.0,0.0,1.26499,1.03099,0.0,0.0,0.0,0.0,0.02172,0.00042,3.7443,0.0,0.46795,0.06611,0.0,0.0,0.0,0.8599,3.95095,1.82624,0.0193,0.00639,0.08056,0.0,0.0,0.0,0.0,3.08603,0.0,0.0,0.20318,0.69646,1.41472,0.0,0.34911,0.0,0.0,0.64399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46829,0.08422,0.0,0.01066,0.0,0.0,0.05896,0.0,0.05298,0.40337,0.0,0.56748,0.0,0.0,0.02213,0.0,0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium,0.0,0.0,3.03529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08105,0.04289,0.03482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36485,0.0,0.0,0.0,0.0,0.21748,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes,0.06553,0.02371,0.0,0.0,0.04186,0.00256,0.32698,0.16816,0.57645,0.0,0.25071,0.02544,0.0312,0.14805,0.42983,0.0,0.14555,0.0879,0.0,0.0,0.28056,0.0,0.11477,0.07256,0.17241,0.34105,0.03579,0.73651,0.0,0.20505,0.01478,0.0,0.38527,1.64895,0.61974,5.05564,0.05923,0.0,0.08699,0.11831,0.32673,0.51608,0.0,0.08245,0.05612,0.0,1.27573,0.98738,0.00569,0.0,1.23057,0.03163,0.01607,0.07669,0.03964,1.44896,0.15058,0.00409,0.09481,0.08949,0.0,0.0,0.04147,0.47422,0.25604
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter,0.69868,0.0,0.0,0.0,2.66532,0.01086,0.11839,0.19157,0.33351,0.10491,0.10164,0.36864,0.06306,1.09453,0.0,0.0425,0.0821,0.16493,0.0,0.0,0.54436,1.54958,0.0,1.09687,0.37446,0.32421,0.0,0.0,0.0,0.17711,0.0,0.0,0.05348,2.55057,0.8896,0.0,0.09616,0.04243,0.1027,0.0,0.08552,0.15417,0.0,0.01443,0.27131,2.27445,1.6319,0.56858,1.35397,0.0,0.95176,0.03627,0.0,0.0,0.00401,1.06809,0.21815,0.04274,0.19221,0.02988,0.0,0.0,0.0311,0.02766,1.25215
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella,0.0,0.0,0.0,1.60252,0.06141,0.53585,0.0,0.0,0.05554,0.2977,0.0,0.0,1.01232,0.0,0.5144,0.00052,0.1867,0.20835,0.0,0.02003,0.74148,0.0,0.0,0.86611,0.0,0.00827,0.98264,0.34962,0.0,0.0,0.02871,0.00577,0.68798,5.89549,0.05541,0.0,0.954,0.0,0.08843,0.89943,0.07802,1.54968,0.0,0.02114,0.00853,0.08927,0.0,0.0,0.55989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30357,0.0,0.03557,0.0,5.34437
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium,0.04619,0.0,0.0,0.08652,0.01879,0.02002,0.01479,0.04726,0.03492,0.0,0.0,0.0303,0.08034,0.15705,0.12075,0.01286,0.00636,0.0,0.0,0.0,0.0,0.04355,0.06312,0.25578,0.66702,0.13673,0.0,0.0,0.61744,0.0,0.00951,0.82254,0.06915,0.11132,0.03055,7.73025,0.0,0.0,0.00957,0.0077,0.03356,0.0,0.0,0.0,0.0794,0.0,0.24861,0.01972,0.05995,0.0,0.04429,0.0,0.1985,0.0,0.01207,0.0,0.01228,0.0,0.02911,0.00046,0.01478,0.0,0.01594,0.02772,0.0
