Feature\Sample,CSM5FZ4E_P_profile,CSM5FZ4A_P_profile,CSM5MCUQ_P_profile,CSM5MCTZ_P_profile,CSM5MCXB_P_profile,CSM5MCYU_P_profile,CSM67U9T_P_profile,CSM79HNE_profile,CSM7KOP6_profile,CSM79HQR_P_profile,CSM7KOQ5_P_profile,CSM7KOUJ_P_profile,ESM5MEEJ_P_profile,ESM5MEAB_P_profile,ESM5MEC7_P_profile,HSM5MD87_P_profile,HSM6XRQE_P_profile,HSM7CZ1T_P_profile,HSM7CZ2X_P_profile,HSM7J4JT_P_profile,HSM7J4JV_P_profile,HSMA33NW_profile,MSM5LLHV_P_profile,MSM5LLIQ_P_profile,MSM6J2N6_P_profile,MSM79HF1_P_profile,MSM79H9U_P_profile,MSM79HBZ_profile,MSM79HD6_P_profile,MSM9VZN4_P_profile,MSM9VZLZ_profile,MSM9VZJF_P_profile,MSMA267V_profile,PSM6XBSE_P_profile,PSM6XBSG_P_profile,PSM7J1BV_profile,PSMA264O_profile,PSMA265X_profile
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter,0.29386,0.0,0.0,0.39676,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.03763,0.42896,0.0,0.0,0.83566,0.0,0.42513,0.57998,1.2564,0.49187,0.0,0.0,0.77585,0.50411,0.0,0.0,0.9223,0.0,0.58556,0.76122,0.65763,0.0,0.7701,0.0,0.0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,0.0,0.01016,0.00228,0.05347,2.17143,0.08482,0.28528,0.05168,0.0,0.0,0.0591,0.00404,0.15505,0.0511,0.10139,1.11684,0.0,0.27754,1.27814,0.29401,0.0,0.32921,0.21013,0.0,1.30548,0.0,0.0,0.0,0.0334,0.0,0.0,0.94412,0.92697,0.07207,0.02916,0.2681,0.36003,0.3421
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus,5.22168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.40308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3574,0.0,2.38687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75009,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea,0.12102,0.01812,0.36399,0.49008,0.11768,0.0,0.22421,0.08574,0.13361,0.41269,0.13209,0.10539,0.03008,0.34276,0.02446,0.17318,0.0,0.13237,0.29831,0.0,0.04845,0.1322,0.1362,0.0,0.21768,0.4687,0.16037,0.0,0.0,0.01413,0.0,8.54126,4.66365,0.24251,0.13509,0.13725,0.03486,0.34737
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter,0.26876,0.0,0.29701,1.13234,0.50205,0.0,0.0,0.0,0.02779,0.0,0.0,0.5181,0.72529,0.0,0.0,0.19494,0.0,0.0,0.0,0.15308,0.59371,1.13993,0.0,0.0,0.0,0.5673,0.19998,0.0,0.0,7.81735,0.0,1.02618,0.75432,0.0,0.0,0.56903,0.0,0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.96366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes,0.0,0.05596,0.00763,2.26849,0.49747,0.0,0.0,0.0,0.05318,3.89307,0.68538,0.05891,0.15831,0.0,0.0813,0.04872,0.0,0.27158,0.60452,0.0,0.0065,0.20286,0.01179,0.0,0.24864,1.87082,0.08922,0.0,0.34366,0.01335,0.0,1.78915,2.14211,0.61596,0.00915,0.16252,0.19253,0.45349
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter,0.10442,0.01282,0.16781,0.00768,2.70413,0.0,0.14969,0.17933,0.11367,0.47062,0.0301,0.00761,0.0,0.0,0.09425,0.15885,0.0,0.08111,0.10852,0.00157,0.0,0.04611,0.01143,0.0,0.00754,0.68347,0.00917,0.0,0.06084,0.03392,0.0,0.12595,2.23432,0.37784,1.21702,0.19012,0.0,0.96276
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella,0.0,0.47026,0.24132,0.26251,0.70074,0.0,0.0,0.00898,0.03951,0.0,0.17596,0.28786,0.15698,0.0,0.21972,0.56558,0.0,0.56548,1.31864,0.15576,0.0,0.03368,0.66517,0.0,0.0,0.35292,0.02301,0.0,0.38321,0.0,0.0,0.0,0.27299,0.0,0.0,0.01036,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium,0.10426,0.10943,0.89399,0.03821,0.04947,0.00767,0.11245,0.0,0.04442,0.0,0.01493,0.00738,0.003,0.0,0.0,0.02378,0.0,0.05201,0.20611,0.0,0.0,0.0,0.55247,0.0,0.0,0.05618,0.0,0.0,0.05627,0.02027,0.0,0.10623,0.00502,0.0,0.0,0.0,0.0,0.01078
