Feature\Sample,CSM67UH7_profile,ESM5GEYU_P_profile,HSM5MD8A_P_profile,HSM5MD82_P_profile,HSM5MD8H_P_profile,HSM5MD5Z_P_profile,HSM6XRQC_P_profile,HSM67VDX_P_profile,HSM67VDR_P_profile,HSM67VDT_P_profile,HSMA33NY_profile,CSM6J2H9_P_profile,MSM6J2JF_P_profile,MSM6J2JH_P_profile,MSM6J2PO_profile,MSM6J2Q1_profile,MSM79H52_P_profile,MSM79H5E_profile,MSM79HCG_profile,MSM79H8D_profile,MSM79H94_P_profile,MSM9VZFJ_P_profile,MSM9VZMM_profile,MSM9VZL5_profile,PSM6XBTR_profile,PSM6XBW1_P_profile,PSM6XBW3_profile
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea,0.15405,0.0,0.53877,0.13055,1.80514,0.0,0.0,1.43345,0.49646,0.04941,0.77109,0.07951,0.38513,0.04899,1.40019,0.02023,0.13285,0.28702,0.00361,0.19827,0.0,0.09317,0.00247,0.24796,0.02713,0.21736,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter,0.0,0.0,0.0,0.00075,0.18873,0.0,0.0,0.2258,0.71892,0.0,0.16685,0.00026,0.036,1.11655,0.0,1.46669,0.0,5.59377,0.41178,0.0,0.0,0.58676,0.29031,0.22391,0.0764,0.18184,0.0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes,1.20844,0.24469,0.29346,0.5343,2.44148,0.0,0.13696,0.15494,0.4303,0.04817,0.2768,0.26769,0.088,0.011,1.09318,0.01673,1.27632,0.09147,0.19966,0.04862,0.03412,0.22808,0.00072,0.06861,0.0013,0.69492,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter,0.23223,0.0641,0.00494,0.34139,1.09274,0.0,0.07659,0.14519,0.17151,0.0115,0.14303,0.44174,0.35298,0.00876,0.83439,0.04371,0.68039,0.11767,0.3434,0.21282,0.0,0.27821,0.04661,0.15109,0.09258,0.52559,0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella,3.92566,3.09922,0.5163,0.38261,0.38075,0.0,0.0,0.10833,0.0,0.15385,0.03035,0.0,0.34673,0.01365,0.01902,0.03242,0.0,0.0,0.0,0.0,0.23738,0.10139,0.0,0.00091,0.00123,0.00776,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium,0.05655,0.0193,2.55802,0.15055,0.01021,0.0,0.0,1.22989,0.0,0.0814,0.45388,0.0,0.85809,0.01122,0.10155,0.0,2.16313,0.0,0.01711,0.07444,0.01018,0.06177,0.0,0.00548,0.00732,0.04225,17.06128
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus,0.24395,0.0,0.28265,0.0,0.0,0.0,0.0,1.52375,0.1166,0.0,0.08121,0.00547,0.02689,2.39024,0.68821,0.01816,0.0,1.00281,0.86249,0.0454,0.0,0.11416,0.00122,0.02571,0.00668,0.14041,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium,0.29364,0.0,0.00938,0.0057,2.01107,0.0,0.12047,0.15808,0.05903,0.01275,0.30987,0.073,0.10366,0.04335,0.0,0.39703,0.0121,0.16342,0.0,0.07206,0.27407,0.25846,0.13903,0.03177,0.01499,0.00822,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,0.0,0.0104,0.23703,0.21452,0.0,0.0,0.08085,0.0,0.0,0.0054,0.0,0.0,0.0007,0.0,0.6121,0.03114,0.15061,0.0,0.00567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06997
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Dialister,0.0,0.56211,0.18126,2.93267,0.02198,0.0,0.0,0.0,0.04584,0.01114,0.0,1.75445,0.11496,0.0,0.0,0.00318,0.0,0.0436,0.03769,0.0,0.10875,0.0,0.0,0.01759,0.05919,0.0,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella,0.0,0.0,0.06694,0.0,0.0,0.0,0.0,0.0,7.41567,0.0,0.65768,0.0,0.0,0.0,0.0,4.39204,0.0,0.33706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32227,0.0
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified,0.43869,0.18076,0.02063,0.02717,0.01741,0.0,0.0,0.80534,0.0,0.00516,0.0,0.0,0.0919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01293,0.00214,0.0,0.0,0.01843,0.0,0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium,2.93391,0.0,0.0,0.0,0.0,0.0,0.0,0.07659,0.0,0.0,4.60774,0.00248,0.0,0.29578,0.04747,0.25424,0.19338,0.0,0.0,0.43098,0.0,0.61347,0.0401,0.0,0.0,1.50463,0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified,0.0669,0.05508,0.00184,0.36319,0.00908,0.0,0.0,0.13954,0.0,0.04631,0.44182,0.06266,0.0,0.19036,0.0,0.0901,0.84966,0.57876,0.02374,0.11992,0.0,0.113,0.01373,0.02951,0.05048,0.07916,7.5335
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella,0.0,0.0,1.57104,0.40317,0.0,0.0,0.0,1.068,0.11769,0.04688,0.0,0.00579,0.48003,0.00204,0.27919,0.04639,0.0,0.05787,0.00854,0.13236,0.00444,0.04281,0.0,0.00984,0.0,0.04411,0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium,0.0,0.0,0.03575,0.00031,0.0,0.0,0.0,0.01518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0495
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella,0.0,0.27716,0.04013,0.03552,0.0,0.0,0.0,0.02579,0.0,0.0,0.0,0.0,0.12517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01389,0.0,0.0,0.0,0.0,0.38353
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella,0.34889,0.06491,0.03152,0.05645,0.02548,0.0,0.0,0.28888,0.0,0.00759,0.01725,0.00709,0.05116,0.0,0.00947,0.0,0.01573,0.0,0.0,0.0,0.00717,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum,0.0,0.02304,0.01197,0.48106,0.07397,0.0,0.0,0.00636,0.00317,0.00137,0.01844,0.08986,0.04315,0.00799,0.0,0.0,0.0,0.22184,0.01327,0.04037,0.0,0.02298,0.0,0.01421,0.0,0.0081,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0475,0.0,0.0,0.0,3.16899,0.09045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16834,0.0,0.0,0.0,0.0,0.0,0.0669,0.0,0.02665,0.0,0.02172,0.0,0.0898,0.0,0.0,0.0,0.20835,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger,0.18916,0.01421,0.01557,0.0,0.07666,0.0,0.0,0.00603,0.06082,0.0,0.03764,0.00696,0.00897,0.01479,0.53461,0.0,0.0,0.08837,0.0,0.00203,0.0,0.00259,0.0,0.0,0.03333,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerotignum,0.0,0.5648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02446,0.0,0.0,0.0,0.0191,0.0,0.0,0.32469,0.00174,0.12728,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Pseudoflavonifractor,0.0,0.22726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00571,0.0,0.0,0.0,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae|g__Proteus,0.0,0.11888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39471
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila,0.0023,0.0,0.07811,0.02407,0.00404,0.0,0.0,0.01969,0.0,0.0,1.17987,0.03943,0.0,0.0,0.0,0.0,0.0,0.0062,0.00319,0.11992,0.01564,0.0,0.02131,0.06488,0.02426,0.02645,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimonas,0.0,0.0,0.0,0.00677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015,0.01426,0.0,0.0,0.0,0.01567,0.0,0.00314,0.00903,0.0,0.01422,0.00878,0.0,0.00093,0.00274,0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01089,0.0,0.0,0.0,0.02471,0.0,0.0,0.0,0.0,0.26052,0.00324,0.08519,0.0,0.0,0.0,0.00918,0.0,0.00268,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas,0.01866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39245,0.0,0.0,0.44664,0.0041,0.14454,0.06692,0.38497,0.0,0.0,0.11723,0.08173,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus,0.00611,0.0094,1.55434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11197,0.0,0.0,0.0,0.00593,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas,0.36141,0.0504,0.03782,0.01979,0.01404,0.0,0.0,0.01309,0.0,0.0,0.00341,0.0,0.07662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00276,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus,0.0,0.00037,0.0,0.04973,0.0,0.0,0.0,0.04468,0.0,0.0,0.00045,0.0,0.00592,0.0,0.0,0.0,0.01607,0.0,0.0,0.00508,0.0,0.00124,0.0,0.0,0.0,0.0095,0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera,0.0,0.0,0.13853,0.0,0.0,0.0,0.0,0.18678,0.0,0.08181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter,0.0,0.0,0.0,0.01862,0.0,0.0,0.0,0.1006,0.0,0.00049,0.0,0.14588,0.00413,0.0,0.0,0.0,0.0,0.0,0.0,0.24204,0.0,0.58201,0.03693,0.1119,0.01648,0.02241,0.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dielma,0.0,0.01603,0.0,0.0,0.0,0.0,0.0,0.00229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0209,0.0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcus,0.0,0.08785,0.01164,0.0,0.0,0.0,0.0,0.02311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17919
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaeromassilibacillus,0.0,0.00121,0.0,0.00172,0.0,0.0,0.0,0.0,0.0,0.0,0.00284,0.00067,0.14511,0.0,0.0,0.0,0.00173,0.0,0.0,0.0,0.0,0.0,0.0,0.01363,0.0,0.04388,0.21006
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Butyricicoccus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Monoglobus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0776,0.00268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
